
109,ANET,"Arista Networks, Inc.",80.48B,258.68,-4.88%,5.60B
110,KLAC,KLA Corporation,80.33B,594.04,-0.22%,9.67B
111,ITW,Illinois Tool Works Inc.,78.50B,260.90,-1.85%,16.10B
112,CDNS,"Cadence Design Systems, Inc.",78.48B,288.46,-2.09%,3.92B
113,SHW,The Sherwin-Williams Company,77.91B,304.38,-1.06%,23.05B
114,EQIX,"Equinix, Inc.",77.90B,829.77,-1.40%,7.95B
115,SO,The Southern Company,75.82B,69.52,0.39%,26.26B
116,WM,"Waste Management, Inc.",74.77B,185.63,-0.79%,20.14B
117,CME,CME Group Inc.,74.10B,205.84,-0.13%,5.35B
118,DUK,Duke Energy Corporation,73.86B,95.83,0.31%,28.83B
119,GD,General Dynamics Corporation,72.50B,264.99,-1.37%,42.27B
120,MCO,Moody's Corporation,71.74B,392.04,-1.13%,5.73B
121,ICE,"Intercontinental Exchange, Inc.",71.34B,127.33,-1.31%,9.61B
122,MO,"Altria Group, Inc.",70.96B,40.12,-0.84%,24.62B
123,CSX,CSX Corporation,70.55B,35.70,-0.42%,14.71B
124,MAR,"Marriott International, Inc.",70.41B,239.73,-1.42%,23.54B
125,SLB,Schlumberger Limited,69.51B,48.70,-1.32%,33.14B
126,CL,Colgate-Palmolive Company,69.33B,84.20,-0.04%,19.14B
127,BDX,"Becton, Dickinson and Company",69.15B,238.81,1.10%,19.37B
128,NOC,Northrop Grumman Corporation,67.03B,446.76,0.74%,39.29B
129,MCK,McKesson Corporation,66.52B,499.89,2.01%,291.10B
130,EOG,"EOG Resources, Inc.",66.36B,113.79,-2.56%,24.55B
131,PYPL,"PayPal Holdings, Inc.",66.14B,61.35,-3.66%,29.13B
132,CMG,"Chipotle Mexican Grill, Inc.",66.11B,"2,408.77",-0.43%,9.54B
133,USB,U.S. Bancorp,64.68B,41.54,-4.15%,24.66B
134,TGT,Target Corporation,64.21B,139.08,-1.02%,106.89B
135,PSX,Phillips 66,63.49B,144.31,1.33%,152.06B
136,MPC,Marathon Petroleum Corporation,62.88B,165.60,-2.53%,153.58B
137,CTAS,Cintas Corporation,61.29B,604.57,-0.70%,9.19B
138,TDG,TransDigm Group Incorporated,60.75B,"1,092.68",0.62%,6.59B
139,ORLY,"O'Reilly Automotive, Inc.",60.53B,"1,023.05",-1.74%,15.62B
140,APH,Amphenol Corporation,60.49B,101.10,-1.63%,12.55B
141,FDX,FedEx Corporation,60.30B,241.29,-1.02%,87.95B
142,PNC,"The PNC Financial Services Group, Inc.",60.23B,151.21,-1.97%,21.89B
143,AON,Aon plc,59.75B,298.43,0.08%,13.13B
144,PH,Parker-Hannifin Corporation,59.68B,464.50,-2.80%,19.68B
145,LULU,Lululemon Athletica Inc.,59.54B,453.82,-5.73%,9.19B
146,ROP,"Roper Technologies, Inc.",57.36B,537.00,-4.38%,6.18B
147,TT,Trane Technologies plc,57.36B,252.05,-2.21%,17.33B
148,MNST,Monster Beverage Corporation,57.25B,55.02,-0.52%,6.92B
149,FCX,Freeport-McMoRan Inc.,56.91B,39.69,-0.70%,22.71B
150,APD,"Air Products and Chemicals, Inc.",56.83B,255.71,-1.38%,12.60B
151,ECL,Ecolab Inc.,56.52B,198.22,-1.26%,15.05B
152,CHTR,"Charter Communications, Inc.",54.84B,370.71,-1.66%,54.57B
153,ADSK,"Autodesk, Inc.",54.29B,253.81,-1.04%,5.35B
154,NXPI,NXP Semiconductors N.V.,54.28B,210.57,-2.14%,13.17B
155,RSG,"Republic Services, Inc.",53.84B,171.12,-1.02%,14.66B
156,PXD,Pioneer Natural Resources Company,53.69B,229.83,-1.84%,19.25B
157,NSC,Norfolk Southern Corporation,53.20B,235.24,-0.68%,12.32B
158,GM,General Motors Company,53.14B,38.80,1.70%,171.84B
159,MSI,"Motorola Solutions, Inc.",53.03B,319.50,-2.45%,9.84B
160,PCAR,PACCAR Inc,52.51B,100.39,-1.55%,34.64B
161,EMR,Emerson Electric Co.,52.30B,91.73,-3.19%,15.17B
162,MMM,3M Company,52.11B,94.35,-1.46%,32.68B
163,COF,Capital One Financial Corporation,51.54B,135.32,-2.37%,26.34B
164,MET,"MetLife, Inc.",51.31B,69.32,-2.10%,64.19B
165,OXY,Occidental Petroleum Corporation,50.52B,57.57,-2.26%,29.72B
166,AJG,Arthur J. Gallagher & Co.,50.12B,232.16,0.69%,9.67B
167,PSA,Public Storage,49.79B,283.19,-0.55%,4.45B
168,FTNT,"Fortinet, Inc.",49.52B,64.49,-3.33%,5.17B
169,TFC,Truist Financial Corporation,49.43B,37.06,-2.91%,21.90B
170,AFL,Aflac Incorporated,49.29B,84.34,-1.62%,18.93B
171,HLT,Hilton Worldwide Holdings Inc.,48.97B,190.96,-1.66%,10.07B
172,AIG,"American International Group, Inc.",48.80B,69.51,-1.24%,48.56B
173,TRV,"The Travelers Companies, Inc.",48.27B,211.36,-1.02%,40.07B
174,WELL,Welltower Inc.,47.88B,86.51,-0.48%,6.41B
175,AZO,"AutoZone, Inc.",47.76B,"2,762.13",-2.70%,17.66B
176,EW,Edwards Lifesciences Corporation,47.59B,78.47,6.18%,5.82B
177,DHI,"D.R. Horton, Inc.",47.42B,142.91,-0.24%,35.93B
178,MSCI,MSCI Inc.,47.35B,598.62,-0.60%,2.42B
179,VLO,Valero Energy Corporation,47.29B,138.90,-1.36%,151.10B
180,EL,The Estée Lauder Companies Inc.,47.24B,131.99,-1.63%,15.50B
181,ROST,"Ross Stores, Inc.",47.23B,140.28,-1.56%,19.57B
182,CCI,Crown Castle Inc.,46.98B,108.25,0.25%,6.98B
183,DXCM,"DexCom, Inc.",46.89B,121.35,0.46%,3.40B
184,HUM,Humana Inc.,46.54B,378.06,0.33%,102.35B
185,COR,Cencora,46.42B,232.68,5.51%,271.58B
186,CPRT,"Copart, Inc.",46.13B,48.04,-1.86%,4.00B
187,MCHP,Microchip Technology Incorporated,46.09B,85.18,-0.91%,8.94B
188,F,Ford Motor Company,46.08B,11.72,-0.51%,174.23B
189,NUE,Nucor Corporation,45.95B,186.93,-1.04%,34.71B
190,CARR,Carrier Global Corporation,45.90B,54.71,-2.88%,22.10B
191,KHC,The Kraft Heinz Company,45.54B,37.13,-0.59%,27.16B
192,SPG,"Simon Property Group, Inc.",45.22B,138.61,-0.45%,5.53B
193,SRE,Sempra,45.03B,71.56,-0.51%,16.68B
194,O,Realty Income Corporation,44.99B,54.39,-0.97%,3.89B
195,STZ,"Constellation Brands, Inc.",44.80B,245.08,-1.35%,9.82B
196,GWW,"W.W. Grainger, Inc.",44.45B,895.64,-2.09%,16.28B
197,TEL,TE Connectivity Ltd.,43.99B,142.19,-2.09%,16.02B
198,KDP,Keurig Dr Pepper Inc.,43.96B,31.44,-1.13%,14.75B
199,PAYX,"Paychex, Inc.",43.80B,121.73,-0.56%,5.15B
200,HES,Hess Corporation,43.17B,140.53,-2.08%,10.66B
201,IDXX,"IDEXX Laboratories, Inc.",42.78B,515.08,-1.14%,3.59B
202,ODFL,"Old Dominion Freight Line, Inc.",42.67B,391.02,-1.23%,5.86B
203,DLR,"Digital Realty Trust, Inc.",42.54B,140.46,-2.61%,5.34B
204,LEN,Lennar Corporation,42.20B,149.85,-0.81%,34.23B
205,WMB,"The Williams Companies, Inc.",42.16B,34.66,-1.53%,11.05B
206,BK,The Bank of New York Mellon Corporation,42.11B,55.46,-1.03%,17.11B
207,URI,"United Rentals, Inc.",42.02B,625.40,-2.73%,14.33B
208,AEP,"American Electric Power Company, Inc.",41.09B,78.14,-0.38%,19.29B
209,KMB,Kimberly-Clark Corporation,40.88B,120.97,-0.60%,20.43B
210,SYY,Sysco Corporation,40.82B,80.93,0.14%,77.51B
211,ALL,The Allstate Corporation,40.63B,155.25,-0.79%,55.91B
212,CNC,Centene Corporation,40.23B,75.31,0.60%,150.10B
213,NEM,Newmont Corporation,39.77B,34.51,-,11.06B
214,OKE,"ONEOK, Inc.",39.76B,68.25,-2.26%,17.47B
215,KVUE,Kenvue Inc.,39.75B,20.76,-0.53%,15.55B
216,AMP,"Ameriprise Financial, Inc.",39.70B,386.83,-1.71%,11.54B
217,HSY,The Hershey Company,39.59B,193.54,-1.95%,11.16B
218,LHX,"L3Harris Technologies, Inc.",39.50B,208.42,-1.09%,18.66B
219,FAST,Fastenal Company,38.99B,68.23,-0.71%,7.28B
220,CEG,Constellation Energy Corporation,38.92B,122.00,0.10%,26.46B
221,CTSH,Cognizant Technology Solutions Corporation,38.67B,77.12,-0.62%,19.43B
222,MRNA,"Moderna, Inc.",38.53B,101.05,-1.39%,9.12B
223,D,"Dominion Energy, Inc.",38.26B,45.72,-0.04%,17.77B
224,A,"Agilent Technologies, Inc.",38.12B,130.10,-3.11%,6.83B
225,IQV,IQVIA Holdings Inc.,38.00B,208.23,-4.08%,14.86B
226,PRU,"Prudential Financial, Inc.",37.88B,104.93,-1.59%,52.23B
227,KMI,"Kinder Morgan, Inc.",37.61B,16.92,-1.69%,15.88B
228,DOW,Dow Inc.,37.59B,53.60,-1.60%,44.62B
229,AME,"AMETEK, Inc.",37.40B,162.05,-2.30%,6.49B
230,EA,Electronic Arts Inc.,37.00B,137.58,0.02%,7.66B
231,FIS,"Fidelity National Information Services, Inc.",36.89B,62.26,-1.41%,13.46B
232,GIS,"General Mills, Inc.",36.86B,64.91,-0.67%,20.20B
233,LVS,Las Vegas Sands Corp.,36.85B,48.92,-1.19%,8.57B
234,YUM,"Yum! Brands, Inc.",36.30B,129.49,-0.87%,7.06B
235,OTIS,Otis Worldwide Corporation,36.19B,88.44,-1.73%,14.21B
236,IT,"Gartner, Inc.",36.05B,457.44,-1.74%,5.83B
237,PCG,PG&E Corporation,35.99B,16.87,-0.59%,22.76B
238,JCI,Johnson Controls International plc,35.86B,52.69,-3.30%,26.82B
239,BIIB,Biogen Inc.,35.74B,246.66,-0.17%,9.99B
240,VRSK,"Verisk Analytics, Inc.",35.02B,241.53,-1.85%,2.23B
241,GPN,Global Payments Inc.,34.69B,133.23,-1.99%,9.47B
242,EXC,Exelon Corporation,34.65B,34.81,-0.68%,21.03B
243,CSGP,"CoStar Group, Inc.",34.09B,83.48,-2.06%,2.39B
244,CMI,Cummins Inc.,33.92B,239.30,-1.44%,33.29B
245,GEHC,GE HealthCare Technologies Inc.,33.40B,73.36,-0.86%,19.28B
246,NDAQ,"Nasdaq, Inc.",33.33B,57.77,-1.16%,6.00B
247,PPG,"PPG Industries, Inc.",33.26B,141.04,-1.42%,18.25B
248,KR,The Kroger Co.,33.19B,46.14,-1.09%,147.80B
249,XEL,Xcel Energy Inc.,33.04B,59.87,0.18%,14.82B
250,RCL,Royal Caribbean Cruises Ltd.,32.67B,127.50,0.90%,13.17B
251,IR,Ingersoll Rand Inc.,32.33B,79.86,-0.93%,6.68B
252,CTVA,"Corteva, Inc.",32.05B,45.48,-0.76%,17.34B
253,HAL,Halliburton Company,31.91B,35.65,-3.15%,22.86B
254,EXR,Extra Space Storage Inc.,31.56B,144.44,-0.77%,2.27B
255,MLM,"Martin Marietta Materials, Inc.",31.42B,508.42,-1.75%,6.65B
256,ED,"Consolidated Edison, Inc.",31.38B,90.90,0.24%,15.25B
257,VICI,VICI Properties Inc.,31.16B,30.12,-0.40%,3.45B
258,ACGL,Arch Capital Group Ltd.,30.76B,82.43,2.30%,12.73B
259,ON,ON Semiconductor Corporation,30.64B,71.13,-1.98%,8.34B
260,LYB,LyondellBasell Industries N.V.,30.53B,94.12,-1.60%,41.38B
261,CDW,CDW Corporation,30.37B,226.72,-1.52%,21.80B
262,EFX,Equifax Inc.,30.11B,244.34,-1.56%,5.14B
263,VMC,Vulcan Materials Company,30.03B,226.01,-2.18%,7.68B
264,FICO,Fair Isaac Corporation,29.79B,"1,198.83",0.15%,1.55B
265,ADM,Archer-Daniels-Midland Company,29.65B,55.58,-0.75%,96.90B
266,ROK,"Rockwell Automation, Inc.",29.02B,253.28,-17.56%,9.13B
267,DG,Dollar General Corporation,28.99B,132.07,0.11%,39.04B
268,PEG,Public Service Enterprise Group Incorporated,28.90B,57.99,-0.45%,11.77B
269,MPWR,"Monolithic Power Systems, Inc.",28.88B,602.72,-1.74%,1.83B
270,BKR,Baker Hughes Company,28.68B,28.50,-2.86%,25.51B
271,ANSS,"ANSYS, Inc.",28.48B,327.83,-0.95%,2.16B
272,DLTR,"Dollar Tree, Inc.",28.46B,130.62,-0.52%,29.68B
273,HPQ,HP Inc.,28.45B,28.71,-1.51%,53.72B
274,PWR,"Quanta Services, Inc.",28.19B,194.05,-1.62%,19.51B
275,TTWO,"Take-Two Interactive Software, Inc.",28.05B,164.93,-1.20%,5.44B
276,KEYS,"Keysight Technologies, Inc.",28.01B,153.26,-2.83%,5.46B
277,RMD,ResMed Inc.,27.98B,190.20,-0.62%,4.50B
278,GLW,Corning Incorporated,27.72B,32.49,-2.43%,12.59B
279,WST,"West Pharmaceutical Services, Inc.",27.60B,373.03,-0.81%,2.93B
280,FANG,"Diamondback Energy, Inc.",27.52B,153.74,-2.03%,8.21B
281,FTV,Fortive Corporation,27.48B,78.18,4.66%,5.43B
282,XYL,Xylem Inc.,27.11B,112.44,-1.15%,6.75B
283,DVN,Devon Energy Corporation,26.92B,42.02,-3.00%,15.41B
284,CAH,"Cardinal Health, Inc.",26.91B,109.19,1.99%,210.17B
285,DD,"DuPont de Nemours, Inc.",26.58B,61.80,-1.83%,12.27B
286,BF.B,Brown-Forman Corporation,26.40B,54.90,-2.16%,4.27B
